
[Name]
finFluid2

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
-2.43989304e-02, 1.87010299e-02, 9.22127720e-03, 3.24687836e+02
-2.09092777e-02, 1.87407825e-02, 1.06262648e-02, 3.24496796e+02
-2.44892947e-02, 1.86991785e-02, 7.77799776e-03, 3.23467224e+02
-2.25995369e-02, 1.93448607e-02, 5.47998678e-03, 3.21929871e+02
-1.96560249e-02, 2.02163346e-02, 8.36657174e-03, 3.23124878e+02
-2.36600470e-02, 1.98438540e-02, 1.01135811e-02, 3.25260986e+02
-2.47571357e-02, 1.99620482e-02, 8.31509661e-03, 3.25861237e+02
-1.94331370e-02, 1.99656878e-02, 7.72189209e-03, 3.22300751e+02
-2.14336477e-02, 2.00879872e-02, 1.06509225e-02, 3.25158875e+02
-2.00580619e-02, 2.00720243e-02, 6.08957093e-03, 3.22178894e+02
-2.28669196e-02, 2.00336296e-02, 1.05324639e-02, 3.25453613e+02
-2.20738351e-02, 2.07800474e-02, 5.36692562e-03, 3.23096588e+02
-1.93937141e-02, 2.19377708e-02, 9.00820643e-03, 3.25232117e+02
-2.21162885e-02, 2.27413196e-02, 5.34173148e-03, 3.24655457e+02
-2.42355391e-02, 2.26889160e-02, 6.50591869e-03, 3.26971039e+02
-2.42234543e-02, 2.26910356e-02, 9.48344730e-03, 3.27537994e+02
-2.09687669e-02, 2.27404311e-02, 1.05598466e-02, 3.27112762e+02
-1.96977369e-02, 2.27482356e-02, 6.45863218e-03, 3.24154236e+02
-1.94270629e-02, 2.35606954e-02, 8.78042728e-03, 3.25782288e+02
-2.16538496e-02, 2.40965970e-02, 5.97634586e-03, 3.23723114e+02
-2.46477518e-02, 2.35309992e-02, 8.28358717e-03, 3.27950348e+02
-2.33978238e-02, 2.38728262e-02, 5.85530698e-03, 3.26001953e+02
-2.01134291e-02, 2.41213329e-02, 7.11796852e-03, 3.23541168e+02
-2.44270563e-02, 2.44235564e-02, 6.95760781e-03, 3.27803925e+02
-2.19815634e-02, 2.41868906e-02, 9.87420697e-03, 3.25096558e+02
-1.93887614e-02, 2.44323649e-02, 8.51939060e-03, 3.26224976e+02
-2.19031330e-02, 2.43864525e-02, 5.22371382e-03, 3.26183258e+02
-2.28312965e-02, 2.44518220e-02, 5.28923981e-03, 3.26989716e+02
-2.46214662e-02, 2.43858248e-02, 8.55412520e-03, 3.28475494e+02
-2.39012819e-02, 2.44317856e-02, 6.09871931e-03, 3.27963135e+02
-2.02435143e-02, 2.42239181e-02, 9.56340600e-03, 3.25672821e+02
-1.92790348e-02, 2.44618356e-02, 7.17460830e-03, 3.26087891e+02
-2.10620426e-02, 2.43874472e-02, 5.24273422e-03, 3.26453613e+02
-2.04269756e-02, 2.46447865e-02, 5.39816217e-03, 3.26813507e+02
-2.01091841e-02, 2.44446136e-02, 6.16719853e-03, 3.24996002e+02
-2.42025461e-02, 2.43913047e-02, 9.92386509e-03, 3.30282898e+02
-2.35096682e-02, 2.44313553e-02, 1.02593638e-02, 3.29495911e+02
-2.19583195e-02, 2.44347025e-02, 1.07325586e-02, 3.28742004e+02
-2.09253933e-02, 2.44037025e-02, 1.04949735e-02, 3.27915863e+02
-2.14979574e-02, 2.36363336e-02, 1.06994286e-02, 3.27755798e+02
-2.24869438e-02, 2.37239487e-02, 1.07597457e-02, 3.28614166e+02
-2.38888897e-02, 2.35238653e-02, 1.00369463e-02, 3.28674500e+02
-2.33546160e-02, 2.41545588e-02, 9.38159227e-03, 3.25725189e+02
-1.98923089e-02, 2.35486515e-02, 6.35558320e-03, 3.24577515e+02
-1.92942917e-02, 2.37784330e-02, 7.46181933e-03, 3.25204681e+02
-1.96652059e-02, 2.36824248e-02, 9.63619072e-03, 3.27158508e+02
-2.12127268e-02, 2.41537765e-02, 8.98778159e-03, 3.23194183e+02
-2.04793606e-02, 2.36097518e-02, 1.03745088e-02, 3.27621857e+02
-2.36207750e-02, 2.39284895e-02, 7.95636792e-03, 3.24627014e+02
-2.25719102e-02, 2.37208195e-02, 5.28994435e-03, 3.26006958e+02
-2.43079029e-02, 2.36916151e-02, 6.32877462e-03, 3.28097992e+02
-2.32880469e-02, 2.29462832e-02, 5.59040764e-03, 3.25807556e+02
-2.44516879e-02, 2.37378515e-02, 9.21504572e-03, 3.28554993e+02
-2.47205347e-02, 2.27923784e-02, 8.71684682e-03, 3.28514069e+02
-2.46453285e-02, 2.37213634e-02, 7.34584359e-03, 3.28162537e+02
-2.47639474e-02, 2.28402205e-02, 7.66298780e-03, 3.27932892e+02
-2.16643475e-02, 2.36337334e-02, 5.27947862e-03, 3.25284088e+02
-2.26853453e-02, 2.40826290e-02, 6.82264986e-03, 3.23008606e+02
-2.07324661e-02, 2.35608649e-02, 5.62874507e-03, 3.25171295e+02
-1.93099342e-02, 2.27991696e-02, 8.12525768e-03, 3.24721222e+02
-1.95366852e-02, 2.27308050e-02, 9.25630238e-03, 3.25810028e+02
-2.07478609e-02, 2.18484346e-02, 5.63395862e-03, 3.23469513e+02
-2.03132927e-02, 2.28259992e-02, 5.84842684e-03, 3.24337555e+02
-1.94888767e-02, 2.19256673e-02, 7.17672426e-03, 3.23345856e+02
-1.99349411e-02, 2.18053553e-02, 6.28212281e-03, 3.23233521e+02
-1.93496719e-02, 2.29191650e-02, 7.26168975e-03, 3.24411469e+02
-2.28013135e-02, 2.17718165e-02, 1.06043098e-02, 3.27301361e+02
-2.02717409e-02, 2.18077470e-02, 1.00652892e-02, 3.25682617e+02
-2.19238419e-02, 2.28086803e-02, 1.06812296e-02, 3.26890839e+02
-2.13791635e-02, 2.18289699e-02, 1.07065495e-02, 3.26442291e+02
-2.45016254e-02, 2.17674989e-02, 9.13185719e-03, 3.27353149e+02
-2.38541011e-02, 2.18178593e-02, 1.00525813e-02, 3.27514771e+02
-2.43811179e-02, 2.10456271e-02, 6.56801276e-03, 3.25834534e+02
-2.37137824e-02, 2.18539611e-02, 5.92059596e-03, 3.25454987e+02
-2.44750399e-02, 2.17981953e-02, 6.88878447e-03, 3.26337677e+02
-2.10808832e-02, 2.27802489e-02, 5.40772639e-03, 3.24576874e+02
-2.26733647e-02, 2.19029300e-02, 5.32334391e-03, 3.24698120e+02
-1.92632154e-02, 2.11304761e-02, 8.28347541e-03, 3.24260620e+02
-1.96916442e-02, 2.08841320e-02, 9.30550694e-03, 3.24216156e+02
-2.09906101e-02, 2.01617368e-02, 5.47450688e-03, 3.22508423e+02
-2.26751175e-02, 2.01686975e-02, 5.25009539e-03, 3.23480438e+02
-2.30499469e-02, 2.09034942e-02, 5.53283468e-03, 3.23987457e+02
-2.02340540e-02, 2.09747683e-02, 5.97139075e-03, 3.22568665e+02
-2.20572464e-02, 2.08333135e-02, 1.06732445e-02, 3.25691376e+02
-2.06386037e-02, 2.03448925e-02, 1.03377141e-02, 3.24547455e+02
-1.94856636e-02, 1.88856125e-02, 7.52251921e-03, 3.21402649e+02
-2.45842952e-02, 2.00701561e-02, 7.35802390e-03, 3.24786835e+02
-2.46396102e-02, 2.08769981e-02, 8.58937111e-03, 3.26090027e+02
-2.32167207e-02, 1.90058555e-02, 1.04160728e-02, 3.24848480e+02
-2.37391572e-02, 2.07386576e-02, 1.00623071e-02, 3.26137329e+02
-1.98105555e-02, 1.91303696e-02, 9.51805245e-03, 3.22964264e+02
-2.26292945e-02, 1.81989949e-02, 5.42892143e-03, 3.21372498e+02
-2.44743004e-02, 1.93355847e-02, 6.92021847e-03, 3.24118683e+02
-2.08477452e-02, 1.95367243e-02, 1.04917651e-02, 3.24222626e+02
-2.48018652e-02, 1.90733727e-02, 8.61155149e-03, 3.25984375e+02
-2.00054757e-02, 1.81637928e-02, 6.27514441e-03, 3.20608063e+02
-2.10761111e-02, 1.92381516e-02, 5.35694137e-03, 3.22367249e+02
-2.14368198e-02, -3.17374691e-02, 6.30409038e-03, 3.00000000e+02
-2.34400202e-02, -3.19625288e-02, 6.69176597e-03, 3.00000000e+02
-2.41362210e-02, 1.89858861e-02, 6.25496870e-03, 3.24158234e+02
-2.23551095e-02, -3.18306275e-02, 9.92150791e-03, 3.00000000e+02
-1.93899963e-02, 1.83322318e-02, 8.39823950e-03, 3.21653564e+02
-1.97274443e-02, 1.71535686e-02, 9.34918597e-03, 3.21282288e+02
-2.08160859e-02, -3.21079530e-02, 9.69214924e-03, 3.00000000e+02
-2.03480925e-02, -3.05293333e-02, 8.98848101e-03, 3.00000000e+02
-2.43527032e-02, 1.66110955e-02, 9.37992893e-03, 3.23536987e+02
-2.48390902e-02, 1.82617698e-02, 8.54283944e-03, 3.25538544e+02
-1.95367597e-02, 1.73501652e-02, 6.97656441e-03, 3.20356018e+02
-2.06592865e-02, 1.61110535e-02, 1.02292383e-02, 3.21132629e+02
-2.08980441e-02, 1.79342851e-02, 1.06580369e-02, 3.23771759e+02
-2.43005734e-02, 1.59088820e-02, 6.44300319e-03, 3.21538696e+02
-2.36650780e-02, 1.73445884e-02, 5.84531901e-03, 3.21719177e+02
-2.25283559e-02, 1.61651690e-02, 1.05950031e-02, 3.22019653e+02
-2.25489009e-02, 1.69755612e-02, 1.06743248e-02, 3.23234650e+02
-2.37935297e-02, -3.18491273e-02, 8.88424087e-03, 3.00000000e+02
-2.41272245e-02, -3.03482488e-02, 7.30950711e-03, 3.00000000e+02
-2.45093182e-02, 1.70904715e-02, 7.33001297e-03, 3.22220276e+02
-2.45289244e-02, 1.61616784e-02, 7.17523787e-03, 3.22015167e+02
-2.17687227e-02, 1.53267095e-02, 5.32777188e-03, 3.19102417e+02
-2.23646257e-02, 1.63999274e-02, 5.39399497e-03, 3.20048981e+02
-2.31357608e-02, 1.54506043e-02, 5.54356910e-03, 3.19796387e+02
-2.47466397e-02, 1.52348261e-02, 7.50310160e-03, 3.22186249e+02
-2.47405507e-02, 1.43442797e-02, 8.37920886e-03, 3.21934723e+02
-2.44092457e-02, 1.57262031e-02, 9.16901790e-03, 3.22347473e+02
-2.48864423e-02, 1.57574490e-02, 8.70040525e-03, 3.24192078e+02
-1.94024406e-02, 1.54109234e-02, 7.24267168e-03, 3.18764740e+02
-2.01213658e-02, -2.65386254e-02, 9.72092990e-03, 3.00000061e+02
-2.29551010e-02, 1.43915461e-02, 1.04725398e-02, 3.20887268e+02
-2.18051486e-02, 1.44328363e-02, 1.06573459e-02, 3.20382141e+02
-2.32851170e-02, 1.51041979e-02, 1.05074029e-02, 3.22200745e+02
-2.30580270e-02, -2.66983397e-02, 5.69671579e-03, 3.00000031e+02
-2.23111585e-02, -2.66777389e-02, 1.06072817e-02, 3.00000061e+02
-2.36574560e-02, -2.66939662e-02, 1.00491205e-02, 3.00000061e+02
-2.23332569e-02, -2.86876224e-02, 1.05279498e-02, 3.00000000e+02
-2.17921697e-02, -2.67827809e-02, 5.41610830e-03, 3.00000031e+02
-2.01989505e-02, -2.64567398e-02, 6.18115580e-03, 3.00000061e+02
-1.95380505e-02, 1.42706921e-02, 9.33925901e-03, 3.19593231e+02
-2.02551261e-02, 1.52412634e-02, 1.01145813e-02, 3.20806000e+02
-2.00058781e-02, 1.42952129e-02, 6.20564166e-03, 3.17765259e+02
