Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1.61579903e-03, 1.27436209e+01, -1.16043910e-03, -9.99999978e-03, -1.79931372e-02, -7.98797049e-03
2.29954184e-03, 1.27260962e+01, -6.08386844e-03, -9.99999978e-03, -1.80987846e-02, -7.78210443e-03
1.52102439e-03, 1.28757095e+01, -1.20126903e-02, -9.99999978e-03, -1.21968742e-02, -7.24652968e-03
-3.53295282e-02, 1.18248577e+01, 1.21277198e-02, -9.99999978e-03, -2.92739831e-02, -9.37058125e-03
1.33089884e-03, 1.28791800e+01, -3.71945184e-03, -9.99999978e-03, -1.42421927e-02, -7.85077550e-03
1.02807046e-03, 1.28912849e+01, -1.91853056e-03, -9.99999978e-03, -1.41896047e-02, -7.93994963e-03
-2.79621710e-03, 1.28408298e+01, 1.20578567e-02, -9.99999978e-03, -1.38266543e-02, -8.75708647e-03
-2.79621710e-03, 1.28408298e+01, 1.20578567e-02, -9.99999978e-03, -1.38266543e-02, -8.75708647e-03
-2.79621710e-03, 1.28408298e+01, 1.20578567e-02, -9.99999978e-03, -1.38266543e-02, -8.75708647e-03
9.80001409e-04, 1.19970751e+01, 2.15544552e-02, -9.99999978e-03, -2.74884161e-02, -8.55735876e-03
-2.20322167e-04, 1.29309626e+01, -5.24006551e-04, -9.99999978e-03, -1.29036922e-02, -7.99509045e-03
-3.81328166e-04, 1.29256144e+01, 7.72704720e-04, -9.99999978e-03, -1.29303075e-02, -8.06413870e-03
-1.70296920e-03, 1.28397417e+01, 1.10497698e-02, -9.99999978e-03, -1.31787797e-02, -8.66271276e-03
6.57029799e-04, 1.26945705e+01, -2.95171281e-03, -9.99999978e-03, -1.88962221e-02, -7.95446988e-03
6.12973934e-04, 1.26956253e+01, -2.76173255e-03, -9.99999978e-03, -1.88856013e-02, -7.96313398e-03
5.84270922e-04, 1.26950569e+01, -2.59073009e-03, -9.99999978e-03, -1.88992061e-02, -7.96979386e-03
1.13739446e-03, 1.21445818e+01, 2.90337037e-02, -9.99999978e-03, -2.56094988e-02, -8.60667508e-03
2.13644002e-04, 1.21167393e+01, 3.84141579e-02, -9.99999978e-03, -2.54432764e-02, -8.86823516e-03
-1.69224833e-04, 1.29698639e+01, 5.75733231e-03, -9.99999978e-03, -8.52843281e-03, -8.75708647e-03
