"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP101_solidXZ_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 2870, 0, 3, 2873
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP101_solidYZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 2032, 0, 3, 2035
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP101_solidYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 1772, 0, 3, 1775
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP102_solidXZ_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 2861, 0, 3, 2864
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP102_solidYZ1_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 1928, 0, 3, 1931
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP102_solidYZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 1720, 0, 3, 1723
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP103_solidXZ_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 2879, 0, 3, 2882
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP103_solidYZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 1772, 0, 3, 1775
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP104_solidXZ_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 2862, 0, 3, 2865
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP104_solidYZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 1824, 0, 3, 1827
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP99_solidXZ_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 2871, 0, 3, 2874
